id	ko	ja	pos	pos_tag	lemma
839	쇼핑	ショッピング	Noun	NNG	쇼핑
840	수건	タオル、手ぬぐい	Noun	NNG	수건
841	수도	首都	Noun	NNG	수도
842	수돗물	水道水	Noun	NNG	수돗물
843	수박	すいか	Noun	NNG	수박
844	수술하다	手術する	Noun	NNG	수술
845	수업	授業	Noun	NNG	수업
846	수영	水泳	Noun	NNG	수영
847	수영복	水着	Noun	NNG	수영복
848	수영장	プール	Noun	NNG	수영장
849	수요일	水曜日	Noun	NNG	수요일
850	수저	箸とスプーン	Noun	NNG	수저
851	수첩	手帳	Noun	NNG	수첩
852	수학	数学	Noun	NNG	수학
853	숙제	宿題	Noun	NNG	숙제
854	순서	順序、順番	Noun	NNG	순서
855	숟가락	スプーン	Noun	NNG	숟가락
856	술	酒	Noun	NNG	술
857	쉬다	休む	Verb	VV	쉬다
858	쉰	50	Numeral	NR	쉰
859	쉽다	簡単だ	VA-I	VA-I	쉽다
860	슈퍼마켓	スーパーマーケット	Noun	NNG	슈퍼마켓
861	스물	20	Numeral	NR	스물
862	스웨터	セーター	Noun	NNG	스웨터
863	스케이트	スケート	Noun	NNG	스케이트
864	스키	スキー	Noun	NNG	스키
865	스키장	スキー場	Noun	NNG	스키장
866	스타	スター	Noun	NNG	스타
867	스타킹	ストッキング	Noun	NNG	스타킹
868	스트레스	ストレス	Noun	NNG	스트레스
869	스페인어	スペイン語	Noun	NNP	스페인어
870	스포츠	スポーツ	Noun	NNG	스포츠
871	슬퍼하다	悲しむ	Verb	VV	슬퍼하다
872	슬프다	悲しい	Adjective	VA	슬프다
873	습관	習慣、くせ	Noun	NNG	습관
874	시	市、時	Noun	NNG	시
875	시간	時間	Noun	NNG	시간
876	시간표	時間表、時刻表	Noun	NNG	시간표
877	시계	時計	Noun	NNG	시계
878	시골	いなか	Noun	NNG	시골
879	시끄럽다	うるさい	VA-I	VA-I	시끄럽다
880	시내	市内、小川	Noun	NNG	시내
881	시다	酸っぱい	Noun	NNG	시
882	시디	CD	Noun	NNG	시디
883	시민	市民	Noun	NNG	시민
884	시설	施設	Noun	NNG	시설
885	시외	市外	Noun	NNG	시외
886	시원하다	涼しい、爽快だ	XR	XR	시원
887	시월	１０月	Noun	NNG	시월
888	시작	始まり	Noun	NNG	시작
889	시작되다	始まる	Noun	NNG	시작
890	시작하다	始める	Noun	NNG	시작
891	시장	市場	Noun	NNG	시장
892	시청	市役所	Noun	NNG	시청
893	시키다	～させる、注文する	Verb	VV	시키다
