id	ko	ja	pos	pos_tag	lemma
571	덜다	減らす	Adverb	MAG	덜
572	데다	やけどする	Noun	NNB	데
573	데려오다	連れてくる	Verb	VV	데려오다
574	데치다	ゆでる、さっとゆでる	Verb	VV	데치다
575	도구	道具	Noun	NNG	도구
576	도난	盗難	Noun	NNG	도난
577	도대체	一体全体	Adverb	MAG	도대체
578	도둑	泥棒	Noun	NNG	도둑
579	도망가다	逃げる	Verb	VV	도망가다
580	도서	図書	Noun	NNG	도서
581	도시락	弁当	Noun	NNG	도시락
582	도장	印鑑、実印	Noun	NNG	도장
583	도전	挑戦	Noun	NNG	도전
584	도중	途中	Noun	NNG	도중
585	독	毒	Noun	NNG	독
586	독감	インフルエンザ、ひどい風邪	Noun	NNG	독감
587	독립	独立	Noun	NNG	독립
588	독방	独房	Noun	NNG	독방
589	독신자	独身者	Noun	NNG	독신자
590	독특하다	独特だ	XR	XR	독특
591	돌	石	Noun	NNG	돌
592	돌다	回る	Verb	VV	돌다
593	돌려받다	返してもらう	VV-R	VV-R	돌려받다
594	돌려보내다	返す、帰らせる	Verb	VV	돌려보내다
595	돌려주다	返す	Verb	VV	돌려주다
596	돌리다	回す	Verb	VV	돌리다
597	돌보다	面倒をみる、世話をする	Noun	NNG	돌
598	돌솥	石鍋	Noun	NNG	돌솥
599	돌아다니다	歩き回る	Verb	VV	돌아다니다
600	돌아보다	振り向いて見る	Verb	VV	돌아보다
601	돌아서다	振り返る	Verb	VV	돌아서다
602	돌잔치	一歳の誕生日	Noun	NNG	돌잔치
603	동굴	洞窟	Noun	NNG	동굴
